latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,vpd,tmmx_C,pr,wind_speed,wind_direction,
34.60736,-117.33648,305.36,0.38,0.59,1/12/2018,853,N,VIIRS,n,2,274.93,1.05,N,2,1.5857692,23.445892,0.5857143,4.446978,200.95055,
34.09467,-117.53455,320.58,0.38,0.59,1/12/2018,854,N,VIIRS,n,2,282.84,2.07,N,2,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
34.60972,-117.33574,298.9,0.52,0.67,1/12/2018,1034,N,VIIRS,n,2,276.1,1.56,N,2,1.5857692,23.445892,0.5857143,4.446978,200.95055,
34.09475,-117.53463,328.5,0.6,0.53,1/12/2018,2013,N,VIIRS,n,2,297.02,4.07,D,2,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
33.85227,-118.33379,301.48,0.57,0.52,1/12/2020,906,N,VIIRS,n,2,285.34,1.71,N,0,0.70722526,21.214294,1.7609891,2.31511,224.31044,
34.60628,-117.33493,302.06,0.76,0.77,1/12/2020,1046,N,VIIRS,n,2,272.75,1.65,N,2,1.5857692,23.445892,0.5857143,4.446978,200.95055,
34.33358,-118.52036,310.31,0.38,0.36,1/12/2021,943,N,VIIRS,n,2,279.16,1.41,N,2,1.004478,21.653564,2.6324177,3.3162088,194.5467,
33.85173,-118.33372,299.4,0.39,0.36,1/12/2021,944,N,VIIRS,n,2,284.38,1.21,N,0,0.70722526,21.214294,1.7609891,2.31511,224.31044,
34.6069,-117.33671,301.51,0.61,0.54,1/12/2022,900,N,VIIRS,n,2,274.61,1.95,N,2,1.5857692,23.445892,0.5857143,4.446978,200.95055,
33.85423,-118.33139,309.04,0.34,0.56,1/12/2022,901,N,VIIRS,n,2,290.25,1.82,N,0,0.70722526,21.214294,1.7609891,2.31511,224.31044,
33.81824,-118.24342,296.67,0.6,0.7,1/12/2022,1041,N,VIIRS,n,2,284.61,1.93,N,2,0.7206044,21.610718,1.5906594,2.3010988,216.10165,
34.15409,-118.19286,312.73,0.46,0.39,1/12/2023,958,N,VIIRS,n,2,278.86,1.76,N,2,1.0561813,23.195343,2.454945,2.4376373,186.12637,
33.85225,-118.33205,303.59,0.45,0.47,1/12/2024,913,N,VIIRS,n,2,284.17,2.11,N,0,0.70722526,21.214294,1.7609891,2.31511,224.31044,
34.21765,-118.1506,320.31,0.42,0.37,1/12/2025,951,N,VIIRS,n,2,284.27,3.2,N,0,1.1471978,21.317322,2.878022,2.4934065,186.12637,
34.29112,-118.80102,326.97,0.46,0.39,1/12/2025,2110,N,VIIRS,n,2,296.36,1.68,D,2,0.8606044,21.211548,2.2247252,3.1618133,176.43681,
34.6073,-117.33846,303.45,0.44,0.38,1/13/2015,932,N,VIIRS,n,2,278.38,0.8,N,0,1.5857692,23.445892,0.5857143,4.446978,200.95055,
34.09356,-117.53243,328.94,0.4,0.37,1/13/2015,2051,N,VIIRS,n,2,296.24,3.27,D,2,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
34.09289,-117.53207,304.13,0.58,0.7,1/13/2016,843,N,VIIRS,n,2,262.7,0.91,N,2,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
34.06693,-117.44162,323.46,0.36,0.57,1/13/2016,1023,N,VIIRS,n,2,263.35,15.05,N,0,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
