system:index,th,vs,.geo
159_0,198.18407,2.9247253,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.7332011367045,33.7946209885764]}"
160_0,200.54396,2.5848901,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.69726852533971,34.082081879494645]}"
161_0,194.32143,5.058242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.80506635943405,34.33361015904811]}"
162_0,199.81593,3.1967032,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.45185336400012,34.18987971358899]}"
164_0,193.46153,2.9387362,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.34405552990577,34.22581232495377]}"
165_0,190.48077,4.3417583,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.87693158216362,34.36954277041289]}"
166_0,173.54945,3.1302197,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.99084253447182,34.58513843860158]}"
167_0,200.54396,2.55522,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.7332011367045,34.082081879494645]}"
168_0,195.84065,2.6840658,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.55965119809446,34.082081879494645]}"
169_0,186.89835,2.6420329,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.12845986171708,34.33361015904811]}"
170_0,226.62088,2.510989,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.37998814127054,33.7946209885764]}"
171_0,198.6099,4.5744505,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.41592075263533,34.76480149542548]}"
172_0,192.04121,4.6032968,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.87693158216362,34.65700366133114]}"
173_0,194.88461,2.6810439,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.45185336400012,34.04614926812987]}"
174_0,186.67033,2.9843407,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.6674490321888,34.15394710222421]}"
175_0,193.48352,2.9376373,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.95490992310704,34.297677547683335]}"
176_0,192.27747,4.773077,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.87693158216362,34.62107104996636]}"
177_0,189.61539,3.0656593,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.30812291854099,34.36954277041289]}"
179_0,198.18407,2.8675823,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.7332011367045,33.83055359994118]}"
181_0,192.21153,4.2285714,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.55965119809446,34.7288688840607]}"
182_0,197.74176,2.686813,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.66133591397494,33.9742840454003]}"
183_0,173.63187,3.496978,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.41592075263533,34.441407993142455]}"
184_0,173.54945,3.3332417,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.95490992310704,34.62107104996636]}"
185_0,195.9945,2.7980769,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.8471120890127,34.11801449085943]}"
186_0,195.77197,4.5395603,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.66133591397494,34.441407993142455]}"
187_0,195.9945,2.675,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.81117947764791,34.04614926812987]}"
189_0,216.10165,2.3851647,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.16439247308186,33.7946209885764]}"
192_0,206.14285,2.382967,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.0925272503523,33.75868837721162]}"
193_0,194.29121,5.0340657,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.76913374806928,34.51327321587202]}"
194_0,192.21153,4.042857,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.55965119809446,34.692936272695924]}"
195_0,200.54396,2.706044,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.62540330261015,34.082081879494645]}"
197_0,190.48077,3.9623625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.94879680489318,34.36954277041289]}"
198_0,177.61813,3.0458791,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.8471120890127,34.22581232495377]}"
199_0,181.48077,4.6467032,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.02066202762273,34.5492058272368]}"
200_0,192.93407,2.4675825,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.84099897079884,34.082081879494645]}"
201_0,199.21153,3.5052197,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.66133591397494,34.18987971358899]}"
202_0,187.72253,4.340659,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.20032508444665,34.65700366133114]}"
203_0,200.54396,2.875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.7332011367045,34.11801449085943]}"
205_0,211.06044,2.5043955,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.98472941625796,33.686823154482056]}"
207_0,175.81319,3.7832417,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.45185336400012,34.5492058272368]}"
208_0,186.89835,2.5741758,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.16439247308186,34.33361015904811]}"
209_0,173.62912,3.8189561,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.88304470037748,34.692936272695924]}"
210_0,175.81319,3.8667583,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.37998814127054,34.5492058272368]}"
211_0,176.84616,3.207967,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.81117947764791,34.47734060450723]}"
212_0,176.56319,3.1840658,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.2721903071762,34.40547538177768]}"
213_0,200.32967,2.5505495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.84099897079884,33.86648621130596]}"
